Barrio,Censo (1),Abstención,Total,Nulos,Total no nulos,Blanco,Total no nulos no blancos,PACMA,MAS MADRID,P.S.O.E.,PH,ULEG,Cs,FE de las JONS,PCAS-TC,PUM+J,P-LIB,P.P. ,PCTE,VOX,UPyD,PODEMOS-IU
11,17453,5186,12267,52,12215,48,12167,73,3251,3201,3,0,1696,8,4,11,8,2294,5,777,9,827
12,30596,10449,20147,59,20088,87,20001,111,6626,5159,7,1,2145,9,20,8,4,2528,18,1003,27,2335
13,7518,2352,5166,18,5148,40,5108,31,1266,1281,3,0,791,4,0,2,3,1038,4,318,10,357
14,12511,4058,8453,14,8439,39,8400,61,1689,2078,0,1,1575,9,2,9,5,1958,1,638,16,358
15,23188,7449,15739,48,15691,58,15633,98,4399,4009,7,1,2390,9,9,9,7,2768,4,886,13,1024
16,5035,1822,3213,10,3203,23,3180,14,765,745,1,1,547,1,1,5,1,660,2,257,1,179
21,18449,4372,14077,47,14030,74,13956,63,2710,3501,4,1,2687,11,2,8,2,3092,9,1103,14,749
22,30202,6876,23326,62,23264,91,23173,110,4600,6206,14,3,4372,4,10,13,6,5004,8,1525,27,1271
23,15441,4666,10775,43,10732,41,10691,49,2363,2927,3,0,1586,9,7,15,2,2321,9,644,9,747
24,14296,3206,11090,31,11059,52,11007,44,2273,2840,1,1,2694,3,5,6,2,1815,4,790,15,514
25,20775,5388,15387,37,15350,58,15292,74,3111,3888,4,0,2950,6,9,17,5,3172,12,1132,17,895
26,19765,5700,14065,47,14018,57,13961,72,3142,3509,7,2,2252,9,11,14,8,3021,12,950,20,932
27,834,207,627,0,627,1,626,2,134,163,0,0,132,0,1,2,0,81,1,68,0,42
31,27127,6473,20654,51,20603,88,20515,87,3193,4991,7,5,4135,8,5,9,8,5446,7,1730,13,871
32,14641,3445,11196,33,11163,60,11103,54,1820,2669,5,1,2504,3,10,9,5,2650,5,906,16,446
33,19157,3821,15336,46,15290,70,15220,52,1678,3055,3,1,3480,11,5,11,5,5098,6,1357,15,443
34,16719,4448,12271,32,12239,45,12194,50,1563,2671,3,0,2519,6,2,10,5,3722,7,1182,19,435
35,5508,1449,4059,9,4050,16,4034,13,382,603,0,0,816,1,1,2,2,1573,1,528,3,109
36,12122,2484,9638,11,9627,34,9593,21,866,1625,5,0,2200,6,2,7,4,3551,7,1099,9,191
41,11410,3014,8396,20,8376,40,8336,19,337,802,0,1,1689,3,1,3,1,4167,1,1207,9,96
42,22536,6424,16112,43,16069,71,15998,73,1432,2732,1,3,3669,7,2,15,12,5808,4,1871,12,357
43,16363,4393,11970,33,11937,39,11898,69,1665,2688,4,0,2687,5,10,7,3,3308,5,1041,6,400
44,32547,8181,24366,65,24301,104,24197,106,2912,4706,7,3,5414,22,14,28,16,7638,41,2530,41,719
45,15857,4258,11599,29,11570,29,11541,30,1020,1819,3,2,2539,3,3,6,3,4461,2,1429,11,210
46,12485,3128,9357,11,9346,36,9310,28,382,800,1,0,1745,7,4,6,5,4803,5,1418,9,97
51,12977,2923,10054,9,10045,42,10003,22,390,929,2,0,2168,4,3,4,1,5049,0,1341,5,85
52,28925,7311,21614,68,21546,98,21448,99,2710,4623,5,1,4884,9,4,24,7,6303,17,1989,23,750
53,14321,3817,10504,22,10482,40,10442,49,1482,2325,2,1,2196,5,10,8,6,3013,8,905,15,417
54,24703,5782,18921,36,18885,75,18810,54,1242,2692,4,1,4699,12,3,14,6,7488,6,2197,19,373
55,18189,4126,14063,25,14038,55,13983,51,755,1633,2,0,3522,5,1,17,2,6060,2,1738,8,187
