,Id,Nombre,Saldo de rentas,Población,Índice de Riqueza
0,1,Centro,4484236.19001653,140473,31.922406370025
1,2,Arganzuela,4886555.89165765,151965,32.1557983197292
2,3,Retiro,4428007.42440596,120406,36.7756376294036
3,4,Salamanca,5916436.53929529,147854,40.0153972114064
4,5,Chamartín,5993577.10861412,147551,40.6203760639652
5,6,Tetuán,4314914.56566494,161313,26.7487094385756
6,7,Chamberí,5289691.74083558,140866,37.5512312469693
7,8,Fuencarral-El Pardo,7216938.32546059,249973,28.8708713559488
8,9,Moncloa-Aravaca,4579103.16659602,121683,37.6314124947282
9,10,Latina,4921108.55205361,242139,20.3234858988168
10,11,Carabanchel,4849435.58578748,260196,18.6376254277063
11,12,Usera,2502717.15047925,142894,17.5145013120163
12,13,Puente de Vallecas,4042171.42794835,240867,16.7817568531528
13,14,Moratalaz,2188512.86874323,95614,22.8890420727428
14,15,Ciudad Lineal,5564778.05772567,219867,25.3097466092031
15,16,Hortaleza,6082843.84314521,193264,31.4742727209683
16,17,Villaverde,2617583.24895167,154318,16.9622678427123
17,18,Villa de Vallecas,2581552.27507669,114512,22.5439453950389
18,19,Vicálvaro,1635248.68534468,74048,22.0836306901561
19,20,San Blas,3713098.64832985,161222,23.0309675374939
20,21,Barajas,1612045.4861548,50010,32.2344628305299
